node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
275,0.016008004002001,0.0006085320527085436,0.0786262215598882,1.8272611881444985e-47
276,0.0,0.0,0.0,2.5206463634699766e-108
277,0.0010005002501250625,0.0,0.0,2.5206463634699766e-108
278,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
279,0.0035017508754377185,1.1783560082809421e-05,0.0,1.3359519645674363e-99
280,0.0050025012506253125,8.084938989844386e-06,0.0,7.044987862420437e-71
281,0.0015007503751875936,0.0,0.0,2.5206463634699766e-108
282,0.016008004002001,0.00012662410170123715,0.11002108328239925,3.692018176716785e-26
283,0.0,0.0,0.0,2.5206463634699766e-108
284,0.0,0.0,0.0,2.5206463634699766e-108
285,0.0,0.0,0.0,2.5206463634699766e-108
286,0.0,0.0,0.0,2.5206463634699766e-108
287,0.0,0.0,0.0,2.5206463634699766e-108
288,0.0,0.0,0.0,2.5206463634699766e-108
289,0.0,0.0,0.0,2.5206463634699766e-108
290,0.006503251625812906,4.9857089209487224e-05,0.0,3.650811164072301e-52
291,0.009004502251125562,0.0001321379194810892,0.08269990878686531,1.869069698675189e-67
292,0.0015007503751875936,0.0,0.09451285506535001,1.9516097836079822e-09
293,0.0,0.0,0.0,2.5206463634699766e-108
294,0.007503751875937968,3.449445131204315e-06,0.0,3.45168217531801e-46
295,0.014507253626813406,0.00030086550401629624,0.09000276931597896,3.122177964327407e-42
296,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
297,0.0,0.0,0.0,2.5206463634699766e-108
298,0.0,0.0,0.0,2.5206463634699766e-108
299,0.0,0.0,0.0,2.5206463634699766e-108
300,0.0015007503751875936,0.0,0.0,5.592396765263578e-102
301,0.007003501750875437,1.885648423686577e-05,0.0,1.1072558663715165e-50
302,0.0010005002501250625,0.0,0.0,2.5206463634699766e-108
303,0.013506753376688344,8.786419469836061e-05,0.1145416495530912,7.213707897883252e-10
304,0.0,0.0,0.0,2.5206463634699766e-108
305,0.0,0.0,0.0,2.5206463634699766e-108
306,0.0,0.0,0.0,2.5206463634699766e-108
307,0.013506753376688344,0.0005256529806078345,0.09740243605480378,3.450528644698799e-38
308,0.0005002501250625312,0.0,0.0,5.939954806678512e-95
309,0.011505752876438218,2.0631801412292285e-05,0.0,1.0292299236980675e-92
310,0.0015007503751875936,0.0,0.0,7.049239620080134e-104
311,0.0050025012506253125,7.786356010523651e-06,0.0,3.52491033462142e-83
312,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
313,0.0,0.0,0.0,2.5206463634699766e-108
314,0.0,0.0,0.0,2.5206463634699766e-108
315,0.002001000500250125,4.03746426369515e-06,0.08939304078800143,4.6580816673844044e-29
316,0.010505252626313155,7.369420214253245e-05,0.10999659883226574,7.519951163616766e-21
317,0.0,0.0,0.0,2.5206463634699766e-108
318,0.014507253626813406,1.0468161788675168e-05,0.11554240721575873,4.449220240709516e-06
319,0.0,0.0,0.0,2.5206463634699766e-108
320,0.0,0.0,0.0,2.5206463634699766e-108
321,0.0,0.0,0.0,2.5206463634699766e-108
322,0.0,0.0,0.0,2.5206463634699766e-108
323,0.0,0.0,0.0,2.5206463634699766e-108
324,0.0,0.0,0.0,2.5206463634699766e-108
325,0.00400200100050025,1.2667399725215629e-05,0.020939363094372547,2.488577381105237e-93
326,0.011005502751375688,2.952402505405359e-05,0.0,1.3153128071366851e-75
327,0.0010005002501250625,0.0,0.0,2.5206463634699766e-108
328,0.003001500750375187,2.002002002002002e-07,0.0,6.990004430538594e-104
329,0.0015007503751875936,0.0,0.0,3.0371715583916852e-68
330,0.01650825412706353,0.0003085596484562793,0.09687965381857568,7.24016579277307e-39
331,0.002001000500250125,3.0030030030030026e-06,0.0,6.921997032783644e-88
332,0.0,0.0,0.0,2.5206463634699766e-108
333,0.002001000500250125,6.68671343354042e-06,0.0,7.338523248909082e-90
334,0.0,0.0,0.0,2.5206463634699766e-108
335,0.01250625312656328,0.00018328777968621983,0.11273320996018701,1.1551730301654204e-15
336,0.0,0.0,0.0,2.5206463634699766e-108
337,0.0,0.0,0.0,2.5206463634699766e-108
338,0.003001500750375187,1.8316294345998813e-05,0.0,7.818369094409238e-89
339,0.0,0.0,0.0,2.5206463634699766e-108
340,0.0,0.0,0.0,2.5206463634699766e-108
341,0.0,0.0,0.0,2.5206463634699766e-108
342,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
343,0.0,0.0,0.0,2.5206463634699766e-108
344,0.0080040020010005,3.2374443329460414e-05,0.11100047778308647,1.6818094416321953e-09
345,0.002001000500250125,3.3366700033366694e-07,0.0,1.3979756796440825e-103
346,0.007503751875937968,1.4397458709173288e-07,0.12153138447840926,0.0698544332481852
347,0.014507253626813406,1.0447225465097816e-05,0.11554240721575873,4.449220240709516e-06
348,0.0,0.0,0.0,2.5206463634699766e-108
349,0.0,0.0,0.0,2.5206463634699766e-108
350,0.0,0.0,0.0,2.5206463634699766e-108
351,0.0,0.0,0.0,2.5206463634699766e-108
352,0.011505752876438218,0.0010897264964422617,0.0847411599919961,1.3072017410958446e-64
353,0.0,0.0,0.0,2.5206463634699766e-108
354,0.0,0.0,0.0,2.5206463634699766e-108
355,0.0,0.0,0.0,2.5206463634699766e-108
356,0.003001500750375187,0.0,0.0,1.6566900331625514e-101
357,0.0,0.0,0.0,2.5206463634699766e-108
358,0.0010005002501250625,0.0,0.0,2.5206463634699766e-108
359,0.0,0.0,0.0,2.5206463634699766e-108
360,0.0010005002501250625,0.0,0.0,2.5206463634699766e-108
361,0.0010005002501250625,0.0,0.0,5.521906889709136e-102
362,0.0,0.0,0.0,2.5206463634699766e-108
363,0.0,0.0,0.0,2.5206463634699766e-108
364,0.0,0.0,0.0,2.5206463634699766e-108
365,0.0,0.0,0.0,2.5206463634699766e-108
366,0.0,0.0,0.0,2.5206463634699766e-108
367,0.0,0.0,0.0,2.5206463634699766e-108
368,0.0,0.0,0.0,2.5206463634699766e-108
369,0.0,0.0,0.0,2.5206463634699766e-108
370,0.0,0.0,0.0,2.5206463634699766e-108
371,0.002001000500250125,0.0,0.0,2.106147584395068e-95
372,0.0,0.0,0.0,2.5206463634699766e-108
373,0.0,0.0,0.0,2.5206463634699766e-108
374,0.014007003501750874,0.00031095382687881004,0.1124426920419448,1.3255950614372068e-10
375,0.0,0.0,0.0,2.5206463634699766e-108
376,0.007503751875937968,7.0585999942652385e-06,0.0,2.615235959913053e-35
377,0.004502251125562781,5.4704390760804373e-05,0.10425380451572176,8.436501406995123e-21
378,0.0,0.0,0.0,2.5206463634699766e-108
379,0.0,0.0,0.0,2.5206463634699766e-108
380,0.0,0.0,0.0,2.5206463634699766e-108
381,0.006503251625812906,5.092139763474279e-06,0.11461843489812236,2.9191670922498694e-07
382,0.013506753376688344,4.2874637864442075e-06,0.11440651227361645,6.759239985772488e-05
383,0.0,0.0,0.0,2.5206463634699766e-108
384,0.0,0.0,0.0,2.5206463634699766e-108
385,0.01250625312656328,7.159750348876759e-05,0.0,5.444083066125681e-91
386,0.0,0.0,0.0,2.5206463634699766e-108
387,0.007003501750875437,1.885648423686577e-05,0.0,6.353309431694386e-50
388,0.0,0.0,0.0,2.5206463634699766e-108
389,0.010005002501250625,0.00017644008884258006,0.06540850453893933,1.0258297836747365e-81
390,0.0,0.0,0.0,2.5206463634699766e-108
391,0.0025012506253126563,5.384019174834987e-05,0.0,2.1038196096353795e-94
392,0.0,0.0,0.0,2.5206463634699766e-108
393,0.0,0.0,0.0,2.5206463634699766e-108
394,0.002001000500250125,0.0,0.0,5.948725417789145e-106
395,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
396,0.0,0.0,0.0,2.5206463634699766e-108
397,0.013006503251625811,0.00010690770619960091,0.0,4.166687560016045e-78
398,0.0,0.0,0.0,2.5206463634699766e-108
399,0.0,0.0,0.0,2.5206463634699766e-108
400,0.0010005002501250625,0.0,0.0,3.7996244168231295e-91
401,0.005502751375687844,1.0901656413769644e-05,0.0,3.737545889381387e-75
402,0.0050025012506253125,3.268116734623585e-05,0.0,7.238283958914011e-66
